trial,RT,correct,response,interval,tPos,tGen,tCon1,tCon2,tNoi1,tNoi2,dPed,img,ped,pedRand,cues
1,0.80922,1,2,2,3,1,0.25,0.25,0.43782,0.98782,0.55,1,4,3,4
2,1.3169,1,1,1,3,2,0.15,0.15,0.69805,0.14805,0.55,9,2,2,4
3,0.32858,1,2,2,3,2,0.15,0.15,0.14805,0.69805,0.55,9,2,2,1
4,0.4262,1,1,1,2,2,0.25,0.25,0.81894,0.26894,0.55,16,3,3,4
5,0.3898,1,2,2,3,2,0.4,0.4,0.26894,0.81894,0.55,3,3,4,1
6,0.90549,0,2,1,3,1,0.4,0.4,0.98782,0.43782,0.55,18,4,4,4
7,0.36316,1,1,1,2,1,0.4,0.4,0.98782,0.43782,0.55,17,4,4,1
8,1.0149,1,1,1,3,1,0.25,0.25,0.81894,0.26894,0.55,2,3,3,4
9,0.41051,1,2,2,1,2,0.4,0.4,0.14805,0.69805,0.55,1,2,4,1
10,0.33222,1,1,1,1,1,0.25,0.25,0.69805,0.14805,0.55,14,2,3,1
11,0.2718,1,1,1,3,2,0.4,0.4,0.81894,0.26894,0.55,12,3,4,1
12,0.84952,1,2,2,1,2,0.15,0.15,0.26894,0.81894,0.55,3,3,2,1
13,0.3091,1,1,1,1,1,0.4,0.4,0.63561,0.26894,0.36667,14,3,4,1
14,0.96078,0,2,1,2,1,0.4,0.4,0.81894,0.26894,0.55,17,3,4,4
15,0.36243,1,2,2,1,1,0.25,0.25,0.43782,0.98782,0.55,19,4,3,1
16,0.9981,1,1,1,4,1,0.15,0.15,0.81894,0.26894,0.55,11,3,2,4
17,0.31375,1,2,2,2,1,0.15,0.15,0.43782,0.98782,0.55,19,4,2,1
18,1.0274,0,1,2,1,2,0.25,0.25,0.26894,0.81894,0.55,6,3,3,4
19,0.91904,1,2,2,3,2,0.4,0.4,0.14805,0.69805,0.55,1,2,4,4
20,0.76271,1,1,1,2,2,0.15,0.15,0.98782,0.43782,0.55,13,4,2,4
21,0.30031,1,2,2,2,1,0.25,0.25,0.14805,0.51471,0.36667,3,2,3,1
22,0.34401,1,1,1,3,2,0.25,0.25,0.80449,0.43782,0.36667,8,4,3,1
23,0.4817,1,1,1,2,1,0.15,0.15,0.51471,0.14805,0.36667,18,2,2,1
24,0.98935,1,2,2,3,1,0.4,0.4,0.26894,0.81894,0.55,6,3,4,4
25,0.4087,0,1,2,1,1,0.4,0.4,0.43782,0.80449,0.36667,15,4,4,1
26,0.3867,1,2,2,4,2,0.25,0.25,0.26894,0.63561,0.36667,19,3,3,1
27,1.0063,0,1,2,4,1,0.15,0.15,0.26894,0.81894,0.55,15,3,2,4
28,1.0259,1,2,2,3,2,0.15,0.15,0.14805,0.69805,0.55,15,2,2,4
29,0.60372,1,2,2,2,1,0.15,0.15,0.43782,0.98782,0.55,5,4,2,1
30,0.92729,0,2,1,2,1,0.25,0.25,0.51471,0.14805,0.36667,10,2,3,4
31,0.45096,1,2,2,4,1,0.25,0.25,0.26894,0.63561,0.36667,10,3,3,1
32,0.4286,1,2,2,1,2,0.4,0.4,0.14805,0.69805,0.55,16,2,4,4
33,0.88824,0,2,1,4,1,0.25,0.25,0.69805,0.14805,0.55,12,2,3,4
34,0.25793,1,1,1,1,2,0.4,0.4,0.98782,0.43782,0.55,10,4,4,1
35,0.80563,0,2,1,3,2,0.25,0.25,0.51471,0.14805,0.36667,12,2,3,1
36,0.76119,0,1,2,3,1,0.25,0.25,0.26894,0.45227,0.18333,18,3,3,1
37,0.35493,1,2,2,4,2,0.4,0.4,0.14805,0.69805,0.55,11,2,4,1
38,0.29452,1,1,1,4,1,0.25,0.25,0.98782,0.43782,0.55,6,4,3,1
39,0.32223,1,1,1,2,1,0.25,0.25,0.63561,0.26894,0.36667,17,3,3,1
40,0.79586,1,2,2,4,1,0.25,0.25,0.14805,0.69805,0.55,16,2,3,4
41,1.0075,1,1,1,1,1,0.25,0.25,0.69805,0.14805,0.55,14,2,3,4
42,0.66519,1,1,1,3,1,0.15,0.15,0.98782,0.43782,0.55,8,4,2,4
43,0.34088,1,2,2,1,2,0.15,0.15,0.14805,0.69805,0.55,19,2,2,4
44,0.30448,1,1,1,3,2,0.4,0.4,0.69805,0.14805,0.55,7,2,4,1
45,0.77015,1,1,1,1,1,0.4,0.4,0.60638,0.14805,0.45833,9,2,4,4
46,0.8698,1,2,2,4,1,0.4,0.4,0.26894,0.81894,0.55,16,3,4,4
47,0.31343,1,1,1,4,1,0.15,0.15,0.63561,0.26894,0.36667,3,3,2,1
48,0.2591,1,1,1,1,2,0.4,0.4,0.89616,0.43782,0.45833,16,4,4,1
49,0.82278,1,2,2,1,2,0.15,0.15,0.26894,0.81894,0.55,16,3,2,4
50,0.30634,1,1,1,3,2,0.15,0.15,0.69805,0.14805,0.55,10,2,2,1
51,0.22811,1,1,1,4,1,0.4,0.4,0.63561,0.26894,0.36667,10,3,4,1
52,0.32764,1,1,1,3,1,0.4,0.4,0.98782,0.43782,0.55,16,4,4,4
53,0.26541,1,1,1,2,2,0.15,0.15,0.60638,0.14805,0.45833,8,2,2,1
54,1.2691,0,1,2,2,1,0.15,0.15,0.43782,0.80449,0.36667,9,4,2,4
55,0.36071,0,2,1,3,1,0.15,0.15,0.54394,0.26894,0.275,16,3,2,1
56,0.33035,1,1,1,2,2,0.15,0.15,0.63561,0.26894,0.36667,11,3,2,1
57,1.006,1,2,2,3,1,0.15,0.15,0.26894,0.81894,0.55,13,3,2,4
58,0.40959,1,2,2,3,2,0.25,0.25,0.26894,0.63561,0.36667,3,3,3,4
59,0.7473,0,2,1,2,2,0.25,0.25,0.89616,0.43782,0.45833,11,4,3,4
60,0.35899,1,1,1,4,1,0.25,0.25,0.89616,0.43782,0.45833,8,4,3,1
61,0.64266,1,1,1,3,1,0.4,0.4,0.60638,0.14805,0.45833,15,2,4,4
62,0.87623,0,2,1,4,2,0.25,0.25,0.98782,0.43782,0.55,7,4,3,4
63,0.8399,0,1,2,2,2,0.4,0.4,0.43782,0.98782,0.55,10,4,4,4
64,0.88154,1,2,2,2,2,0.25,NaN,0.14805,NaN,0.55,12,4,3,4
65,1.0212,1,2,2,2,1,0.6,NaN,0.62246,NaN,0.55,9,4,2,4
66,0.32887,1,1,1,3,1,0.15,0.15,0.14805,0.69805,0.45833,12,2,4,1
67,0.85061,1,2,2,4,2,0.25,NaN,0.62246,NaN,0.36667,2,3,4,4
68,0.34225,1,1,1,3,2,0.4,0.4,0.26894,0.81894,0.45833,13,4,2,1
69,1.0898,1,1,1,3,1,0.4,0.4,0.98782,0.43782,0.45833,8,2,2,4
70,0.25147,1,2,2,3,2,0.25,NaN,0.62246,NaN,0.45833,10,2,3,1
71,0.3432,1,1,1,3,1,0.25,0.25,0.81894,0.26894,0.55,10,4,4,4
72,0.3069,1,2,2,2,1,0.15,NaN,0.075858,NaN,0.36667,5,4,2,1
